Year,COMMENT_OBS,SDG Series,Composite breakdown,Unit of measure,Observation-level footnotes,Value
2019,Low Confidence,Food waste [12.3.1],Food Waste Sector: Households,Metric Tons,Low Confidence,1622979.60737
2019,Very Low Confidence,Food waste [12.3.1],Food Waste Sector: Out-of-home consumption,Metric Tons,Very Low Confidence,450564.08236
2019,Very Low Confidence,Food waste [12.3.1],Food Waste Sector: Retail,Metric Tons,Very Low Confidence,254879.42127
2019,,Food waste per capita [12.3.1],Food Waste Sector: Households,Kilograms,,99.59153
2019,,Food waste per capita [12.3.1],Food Waste Sector: Out-of-home consumption,Kilograms,,27.64814
2019,,Food waste per capita [12.3.1],Food Waste Sector: Retail,Kilograms,,15.64027
