Year,Value
1970,0.45277
1971,0.40823
1972,0.65772
1973,0.4998
1974,0.62223
1975,0.40499
1976,0.28493
1977,0.41118
1978,0.49776
1979,0.30701
1980,0.38154
1981,1.14582
1982,1.05697
1983,0.97137
1984,0.91675
1985,1.07579
1986,0.72025
1987,0.82802
1988,0.9163
1989,1.07568
1990,1.62452
1991,1.52218
1992,1.39893
1993,2.05397
1994,1.9205
1995,0.96722
1996,0.72675
1997,3.86264
1998,3.77404
1999,4.53516
2000,4.23365
2001,0.39207
2002,0.43463
2003,0.44178
2004,2.33491
2005,2.26808
2006,2.2089
2007,2.01894
2008,1.85906
2009,1.49117
2010,1.51029
2011,1.99307
2012,2.14732
2013,2.11487
2014,2.11002
2015,2.23795
2016,2.33194
2017,2.39196
2018,2.95041
2019,2.82251
2020,3.06889
