Year,UNIT_MULT,SOURCE_DETAIL,SDG Series,Economic activity,Unit of measure,Unit multiplier,Source details,BASE_PER,Base period,Value
2017,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.158
2018,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.154
2019,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.156
2000,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.259
2001,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.315
2002,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.333
2003,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.269
2004,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.403
2005,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.338
2006,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.264
