Year,Value
2000,1.2
2001,1.6
2002,-2.5
2003,3.9
2004,3.0
2005,2.7
2006,0.9
2007,1.1
2008,2.0
2009,1.1
2010,1.7
2011,-0.2
2012,1.2
2013,-0.3
2014,3.3
2015,3.5
2016,0.8
2017,3.4
2018,2.6
2019,0.9
2020,0.8
2021,1.0
