Year,UPPER_BOUND,LOWER_BOUND,Age,Upper bound value,Lower bound value,Value
2018,18.6,6,15 years old and over,18.6,6,10.8
2018,21.2,6.9,15 to 49 years old,21.2,6.9,12.4
