Year,COMMENT_OBS,Value
2000,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",97.91036
2001,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",69.70798
2002,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",41.17739
2003,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",70.28826
2004,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",47.46583
2005,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",43.83722
2006,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",97.0355
2007,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",107.50309
2008,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",121.35768
2009,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",108.27648
2010,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",138.09008
2011,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",142.04874
2012,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",150.23715
2013,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",193.88753
2014,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",189.432
2015,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",201.80933
2016,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",198.25692
2017,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",207.51139
2018,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",214.81945
2019,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",625.12629
2020,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",665.85334
