Year,Value
2002,0.3704
2003,8.41941
2004,26.27734
2005,103.63919
2006,7.55329
2007,10.98536
2008,30.57
2009,51.80942
2010,73.26684
2011,47.61655
2012,66.20826
2013,82.53118
2014,52.13775
2015,189.91887
2016,173.38525
2017,89.96754
2018,93.42992
2019,21.27054
2020,27.43958
