Year,UPPER_BOUND,LOWER_BOUND,SDG Series,Upper bound value,Lower bound value,Value
2000,31.5728,31.5728,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],36.8548,36.8548,31.57276
2001,31.6119,31.6119,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],36.8548,36.8548,31.61185
2002,31.6119,31.6119,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],36.8548,36.8548,31.61185
2003,31.6119,31.6119,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],36.8548,36.8548,31.61185
2004,31.6119,31.6119,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],36.8548,36.8548,31.61185
2005,31.6315,31.6315,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],36.8548,36.8548,31.63152
2006,31.7432,31.7432,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],36.8548,36.8548,31.74323
2007,31.7432,31.7432,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],36.8548,36.8548,31.74323
2008,31.7432,31.7432,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],36.8548,36.8548,31.74323
2009,31.9571,31.9571,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],36.8548,36.8548,31.95713
2010,36.2726,36.2726,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],36.8548,36.8548,36.27259
2011,36.8503,36.8503,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],36.8548,36.8548,36.85028
2012,36.8503,36.8503,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],36.8548,36.8548,36.85028
2013,36.8503,36.8503,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],36.8548,36.8548,36.85028
2014,36.8503,36.8503,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],36.8548,36.8548,36.85028
2015,36.8503,36.8503,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],36.8548,36.8548,36.85028
2016,36.8503,36.8503,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],36.8548,36.8548,36.85028
2017,36.8503,36.8503,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],36.8548,36.8548,36.85028
2018,36.8503,36.8503,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],36.8548,36.8548,36.85028
2019,36.8503,36.8503,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],36.8548,36.8548,36.85028
2020,36.8548,36.8548,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],36.8548,36.8548,36.85479
2021,36.8548,36.8548,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],36.8548,36.8548,36.85479
2000,32.596,30.6935,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],33.9698,33.9698,32.41271
2001,32.6217,30.724,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],33.9698,33.9698,32.62165
2002,32.6217,30.724,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],33.9698,33.9698,32.62165
2003,32.6217,30.724,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],33.9698,33.9698,32.62165
2004,32.6217,30.724,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],33.9698,33.9698,32.62165
2005,32.6267,30.7291,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],33.9698,33.9698,32.62671
2006,32.6554,30.7578,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],33.9698,33.9698,32.65544
2007,32.6554,30.7578,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],33.9698,33.9698,32.65544
2008,32.6554,30.7578,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],33.9698,33.9698,32.65544
