Year,UPPER_BOUND,LOWER_BOUND,SDG Series,Upper bound value,Lower bound value,Value
2009,32.7104,31.175,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],33.9698,33.9698,32.71044
2010,33.8201,32.868,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],33.9698,33.9698,33.82013
2011,33.9687,33.0204,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],33.9698,33.9698,33.96868
2012,33.9687,33.0204,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],33.9698,33.9698,33.96868
2013,33.9687,33.0204,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],33.9698,33.9698,33.96868
2014,33.9687,33.0204,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],33.9698,33.9698,33.96868
2015,33.9687,33.0204,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],33.9698,33.9698,33.96868
2016,33.9687,33.0204,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],33.9698,33.9698,33.96868
2017,33.9687,33.0204,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],33.9698,33.9698,33.96868
2018,33.9687,33.0204,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],33.9698,33.9698,33.96868
2019,33.9687,33.0204,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],33.9698,33.9698,33.96868
2020,33.9698,33.9698,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],33.9698,33.9698,33.96984
2021,33.9698,33.9698,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],33.9698,33.9698,33.96984
