Year,COMMENT_OBS,Value
2000,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",114.91544
2001,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",136.25494
2002,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",67.52383
2003,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",83.89643
2004,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",128.51377
2005,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",100.17962
2006,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",136.99152
2007,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",239.18559
2008,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",215.45376
2009,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",272.57781
2010,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",255.93836
2011,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",379.09571
2012,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",672.75495
2013,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1015.17855
2014,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",928.92059
2015,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1143.94092
2016,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",949.6896
2017,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",859.65685
2018,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",919.22182
2019,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1199.955
2020,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",941.01855
