Year,UNIT_MULT,SOURCE_DETAIL,SDG Series,Economic activity,Unit of measure,Unit multiplier,Source details,BASE_PER,Base period,Value
2018,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,3.237
2019,6,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",,,8.266
2000,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.085
2001,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.074
2002,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.071
2003,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.06
2004,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.065
2005,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.068
2006,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.072
2007,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.067
2008,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.071
2009,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.081
2010,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.08
2011,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.076
2012,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.067
2013,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.074
2014,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.074
2015,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.081
2016,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.085
2017,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.082
2018,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.071
2019,0,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of GDP PPP (kilogrammes of CO2 per constant United States dollars) [9.4.1],,Kilograms per constant USD,Units,"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2017,2017,0.088
2000,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.335
2001,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.371
2002,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.419
2003,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.357
2004,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.334
2005,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.367
2006,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.435
2007,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.391
2008,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.376
2009,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.377
2010,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.467
2011,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.491
2012,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.369
2013,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.394
2014,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.518
2015,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.577
2016,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.577
2017,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.562
2018,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,0.435
2019,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",Carbon dioxide emissions per unit of manufacturing value added [9.4.1],Manufacturing,Kilograms per constant USD,Units,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",2015,2015,1.085
