Year,Sex,Age,Value
2000,,,4.55
2001,,,4.14
2002,,,3.78
2003,,,3.52
2004,,,3.24
2005,,,3.0
2006,,,2.79
2007,,,2.57
2008,,,2.26
2009,,,2.15
2010,,,1.96
2011,,,1.72
2012,,,1.62
2013,,,1.51
2014,,,1.37
2015,,,1.18
2016,,,1.03
2017,,,0.93
2018,,,0.8
2019,,,0.77
2020,,,0.72
2000,,50 years old and over,1.94
2001,,50 years old and over,1.73
2002,,50 years old and over,1.55
2003,,50 years old and over,1.44
2004,,50 years old and over,1.33
2005,,50 years old and over,1.24
2006,,50 years old and over,1.18
2007,,50 years old and over,1.1
2008,,50 years old and over,1.06
2009,,50 years old and over,1.01
2010,,50 years old and over,0.95
2011,,50 years old and over,0.86
2012,,50 years old and over,0.78
2013,,50 years old and over,0.73
2014,,50 years old and over,0.67
2015,,50 years old and over,0.6
2016,,50 years old and over,0.52
2017,,50 years old and over,0.45
2018,,50 years old and over,0.38
2019,,50 years old and over,0.36
2020,,50 years old and over,0.34
2000,,under 15 years old,3.43
2001,,under 15 years old,3.23
2002,,under 15 years old,3.01
2003,,under 15 years old,2.8
2004,,under 15 years old,2.55
2005,,under 15 years old,2.25
2006,,under 15 years old,1.98
2007,,under 15 years old,1.76
2008,,under 15 years old,1.21
2009,,under 15 years old,1.14
2010,,under 15 years old,0.95
2011,,under 15 years old,0.7
2012,,under 15 years old,0.76
2013,,under 15 years old,0.7
2014,,under 15 years old,0.59
2015,,under 15 years old,0.4
2016,,under 15 years old,0.37
2017,,under 15 years old,0.37
2018,,under 15 years old,0.31
2019,,under 15 years old,0.29
2020,,under 15 years old,0.28
2000,,15 to 24 years old,6.72
2001,,15 to 24 years old,5.97
2002,,15 to 24 years old,5.35
2003,,15 to 24 years old,4.96
2004,,15 to 24 years old,4.58
2005,,15 to 24 years old,4.31
2006,,15 to 24 years old,4.11
2007,,15 to 24 years old,3.84
2008,,15 to 24 years old,3.7
2009,,15 to 24 years old,3.51
2010,,15 to 24 years old,3.3
2011,,15 to 24 years old,3.03
2012,,15 to 24 years old,2.77
2013,,15 to 24 years old,2.59
2014,,15 to 24 years old,2.4
2015,,15 to 24 years old,2.17
2016,,15 to 24 years old,1.87
2017,,15 to 24 years old,1.63
2018,,15 to 24 years old,1.4
2019,,15 to 24 years old,1.34
2020,,15 to 24 years old,1.25
2000,,15 to 49 years old,6.17
2001,,15 to 49 years old,5.49
2002,,15 to 49 years old,4.93
2003,,15 to 49 years old,4.58
2004,,15 to 49 years old,4.24
2005,,15 to 49 years old,4.02
2006,,15 to 49 years old,3.84
2007,,15 to 49 years old,3.59
2008,,15 to 49 years old,3.45
2009,,15 to 49 years old,3.27
2010,,15 to 49 years old,3.06
2011,,15 to 49 years old,2.79
2012,,15 to 49 years old,2.54
