Year,NATURE,Sex,Value
2000,E,,13.74088
2003,E,,17.03931
2004,C,,7.23541
2005,C,,7.37575
2006,C,,10.00108
2007,C,,11.22808
2008,C,,12.12661
2009,C,,12.61479
2010,C,,14.36028
2011,C,,15.55541
2012,C,,16.28934
2013,C,,16.04033
2014,C,,18.06066
2015,C,,17.69955
2019,C,,16.13666
2020,C,,15.93175
2000,E,Female,12.31914
2003,E,Female,17.05714
2004,C,Female,7.66083
2005,C,Female,7.78103
2006,C,Female,10.59364
2007,C,Female,11.88232
2008,C,Female,12.55114
2009,C,Female,13.40053
2010,C,Female,15.07904
2011,C,Female,16.54648
2012,C,Female,17.31347
2013,C,Female,16.91011
2014,C,Female,19.05292
2015,C,Female,18.78471
2019,C,Female,17.10417
2020,C,Female,16.85969
2000,E,Male,15.13557
2003,E,Male,17.0218
2004,C,Male,6.81818
2005,C,Male,6.97837
2006,C,Male,9.41983
2007,C,Male,10.58701
2008,C,Male,11.71112
2009,C,Male,11.84657
2010,C,Male,13.65799
2011,C,Male,14.58697
2012,C,Male,15.28902
2013,C,Male,15.1912
2014,C,Male,17.09254
2015,C,Male,16.64149
2019,C,Male,15.19478
2020,C,Male,15.02888
