Year,UPPER_BOUND,LOWER_BOUND,Sex,Upper bound value,Lower bound value,Value
2000,7.4,1.3,,4.5,0.7,3.4
2005,6.6,1.2,,4.5,0.7,3.1
2010,5.5,1,,4.5,0.7,2.5
2015,5.2,0.8,,4.5,0.7,2.3
2019,4.5,0.7,,4.5,0.7,1.9
2000,5.5,0.9,Female,3.4,0.4,2.4
2005,5,0.9,Female,3.4,0.4,2.2
2010,4.2,0.7,Female,3.4,0.4,1.8
2015,4,0.6,Female,3.4,0.4,1.6
2019,3.4,0.4,Female,3.4,0.4,1.3
2000,9.4,1.7,Male,5.7,1,4.5
2005,8.3,1.6,Male,5.7,1,4.0
2010,6.9,1.3,Male,5.7,1,3.3
2015,6.5,1.1,Male,5.7,1,3.0
2019,5.7,1,Male,5.7,1,2.6
