Value,Disaggregation combinations using this value,Number of indicators
Custom code 01,3,3
Custom code 02,4,3
Custom code 03,4,3
Custom code 04,3,3
Custom code 05,4,3
Custom code 06,4,3
Custom code 07,3,3
Custom code 08,2,1
Custom code 09,1,1
Custom code 10,1,1
Custom code 11,1,1
Custom code 12,1,1
Custom code 646,5,1
Custom code 728,2,1
Custom code 800,5,1
Custom code 834,5,1
