Value,Disaggregation combinations using this value,Number of indicators
0.09784,5,1
0.31721,5,1
0.4,5,1
0.57619,5,1
0.7,5,1
10,6,1
1012.1,6,1
1050,5,1
11.1,5,1
11.5,5,1
11.9,5,1
12.2,5,1
1349,5,1
141,5,1
1675.9,6,1
1.6,17,1
16,21,1
1749,5,1
1758,5,1
1.7,5,1
185.9,11,1
18.8,6,1
1,5,1
2059.5,6,1
20,5,1
22.2,6,1
23.9064,11,1
2397.8,6,1
2797,5,1
29.5,5,1
3.5,5,1
3612,5,1
36.6632,6,1
40.7,6,1
41.7,20,1
417.6,21,1
424,5,1
42.8,41,2
45.4146,7,1
4546,5,1
46.8,6,1
4929,5,1
52.6,6,1
5.3,5,1
53,20,1
565,5,1
643,5,1
6.9,1,1
6,1,1
706,5,1
708,5,1
7.2,11,1
7840.3,6,1
8541,5,1
950,6,1
