Value,Disaggregation combinations using this value,Number of indicators
0.06102,1,1
0.07173,1,1
0.07348,1,1
0.0805,1,1
0.09784,1,1
0.12195,1,1
0.19777,1,1
0.22615,1,1
0.24172,1,1
0.25269,1,1
0.25673,1,1
0.31721,1,1
0.35811,1,1
0.4,1,1
0.40872,1,1
0.43273,1,1
0.4442,1,1
0.57619,1,1
0.6,1,1
0.66,1,1
0.7,2,1
0.8,2,2
0.9,2,1
0.92676,1,1
0.92804,1,1
0.92968,1,1
0.93063,1,1
0.93164,1,1
0.93303,1,1
0.93478,1,1
0.93539,1,1
0.93613,1,1
0.93802,1,1
0.939,1,1
0.94033,1,1
0.94145,1,1
0.94215,1,1
0.94338,1,1
0.94446,1,1
0.94503,1,1
0.94615,1,1
0.94667,1,1
0.94731,1,1
0.9481,1,1
0.9487,1,1
0.94923,1,1
0.95004,1,1
0.95056,1,1
0.95121,1,1
0.9516,1,1
0.95248,1,1
0.95283,1,1
0.95343,1,1
0,1,1
1,2,1
1012.1,1,1
10.5,1,1
1050,1,1
1076,1,1
10.8,1,1
10.859,1,1
10,1,1
1.1,1,1
11.1,1,1
11.4,1,1
1148,1,1
11.5,1,1
1159,1,1
115,1,1
11.6,1,1
1184.5,1,1
11.9,1,1
1.2,2,2
120.3,1,1
1211,1,1
12.2,1,1
12.5,2,2
12.5206,1,1
1267,1,1
12.7,1,1
12.8,1,1
128,1,1
12.9,3,3
1295.3,1,1
13,1,1
13.1,3,2
1314.6,1,1
13.2,1,1
1321,1,1
133,1,1
1339,1,1
13.4,1,1
1349,2,1
13.5,1,1
1354.3,1,1
1358,1,1
135.9,1,1
13.7,1,1
13.8,1,1
13.9,1,1
1.3,5,2
14,2,1
141,1,1
1427.3,1,1
147.6,1,1
147,1,1
1484,1,1
1.4,2,1
1510.7,1,1
1523.6,1,1
1527.5,1,1
1.52776,1,1
156.4,1,1
1568.4,1,1
1.5,2,1
1.6,3,2
1618,1,1
16.3,1,1
16.4,1,1
1656,1,1
16.6,1,1
1675.9,1,1
169.1,1,1
16,1,1
1.7,3,3
17.3,1,1
1749,1,1
175.5,1,1
1758.1,1,1
1758,1,1
1775.2,1,1
17.8,1,1
180.075,1,1
18.3,1,1
185.9,1,1
18.6,1,1
18.7,3,1
1884,1,1
188.4,1,1
18.8,2,2
18.9,2,1
189.2,1,1
19.3,2,2
195.6,1,1
19.8,1,1
19,1,1
2,3,2
20.3,2,2
2039,1,1
2048,1,1
2059.5,1,1
20.5,1,1
20.7,1,1
20.9,1,1
20,1,1
210.4,1,1
21.5,1,1
21.8,1,1
22.2,2,2
22.4061,1,1
22.9,1,1
2297,1,1
2.2,1,1
23.6,1,1
237,1,1
23.9064,1,1
2397.8,1,1
2.3,2,1
2.43,1,1
2.4,2,1
2.5,2,1
2506,1,1
251,1,1
26.4328,1,1
265,1,1
26.5898,1,1
2797,1,1
28,1,1
280,1,1
28.0255,1,1
28.1,1,1
28.1499,1,1
28.2,1,1
28.2235,1,1
28.3,1,1
28.4,1,1
28.5269,1,1
28.9,1,1
29.3,1,1
29.4,1,1
29.5,1,1
29.6,1,1
296,1,1
29,1,1
30,1,1
3005,1,1
30.8429,1,1
31.1,2,2
312,1,1
31.2861,1,1
31.3,1,1
31.4,1,1
3151,1,1
3188,1,1
3.18932,1,1
32,1,1
32.4567,1,1
3280,1,1
32.9728,1,1
331,1,1
33.2,1,1
3328,1,1
33.4,1,1
3388,1,1
33.8991,1,1
33.9,1,1
342,1,1
34.2836,1,1
34.7,1,1
3515,1,1
352,1,1
35.4,1,1
35.8,1,1
35.8208,1,1
3.5,1,1
3612,1,1
36.2042,1,1
36.5,1,1
36.6,1,1
36.6632,1,1
36.7549,1,1
3678,1,1
36.7968,1,1
369,1,1
37.0041,1,1
372,1,1
37.3,1,1
374.6,1,1
375.6,1,1
37.6,1,1
376.1,1,1
378,1,1
378.6,1,1
37.8,1,1
38.1,1,1
382,1,1
383.4,1,1
383.5,1,1
387.8,1,1
38.8096,1,1
389.9,1,1
3.9,1,1
390,1,1
390.8,1,1
39.3425,1,1
39.4158,1,1
39.7339,1,1
39.9064,1,1
400.2,1,1
402,1,1
40.2,1,1
40.4,1,1
40.5,1,1
4058,1,1
40.6,1,1
40.7,1,1
4.1,1,1
411,1,1
4123,1,1
415,2,2
41.6,2,1
416,1,1
417.6,1,1
41.7,1,1
422,1,1
42.3079,1,1
424,1,1
426,1,1
42.6,1,1
42.8,2,2
429.7,1,1
429.8,1,1
43,1,1
431,1,1
43.2503,1,1
43.4,1,1
436,1,1
43.9,1,1
43.9132,1,1
441,1,1
441.9,1,1
44.2,1,1
442.4,1,1
44.5,1,1
45,1,1
450.3,1,1
451.6,1,1
45.4146,1,1
4546,1,1
457,1,1
457.1,1,1
457.2,1,1
45.9433,1,1
4.5,1,1
46,1,1
4646,1,1
46.4,1,1
46.6,1,1
46.8,1,1
4.7,1,1
47.0947,1,1
47.4,1,1
476,1,1
47.6,1,1
485,1,1
48.5,2,1
486.1,1,1
49.1326,1,1
4929,1,1
49.3,2,1
496.4,1,1
497,1,1
50.1,1,1
50.2,2,1
50.8,1,1
50.9,2,1
51,1,1
51.4,1,1
5148.8,1,1
514,1,1
51.5,1,1
515.4,1,1
518,1,1
51.8,2,1
51.9,1,1
5207.3,1,1
52.1,1,1
52.4,1,1
52.5,3,1
526.1,1,1
52.6,1,1
526,1,1
52.7,2,1
52.8,1,1
52.9,1,1
53,2,1
53.1,1,1
53.3,2,1
5336.9,1,1
53.5,1,1
53.6,2,1
537,1,1
5.3,1,1
54.2,1,1
54.7,1,1
55.1,1,1
55.5,1,1
55.8,1,1
561,1,1
56.1,1,1
563,1,1
56.4,1,1
565,1,1
56.7,1,1
57,1,1
57.1,1,1
57.2,1,1
57.3,1,1
57.4,1,1
57.5,2,1
57.6,2,1
57.7,1,1
5.8,1,1
5959.2,1,1
5.9,1,1
5,1,1
6,2,2
600,1,1
609,1,1
611,1,1
6.1283,1,1
6.2,1,1
622,1,1
6.3,2,2
633,1,1
6333,1,1
643,1,1
646,1,1
650,1,1
656.1,1,1
66.6485,1,1
6785.8,1,1
6.8,1,1
684,1,1
6866,1,1
68.8345,1,1
698,1,1
698.2,1,1
6.9,3,2
706,1,1
708,1,1
7.1,1,1
7.2,1,1
7337,1,1
749,1,1
7.4,1,1
7.5,1,1
7840.3,1,1
8,1,1
800.9,1,1
8161,1,1
838,1,1
8.3,2,1
83,2,1
84,2,1
85,1,1
852.7,1,1
8541,1,1
86,1,1
87,2,1
8.8,2,2
88,1,1
8.9,1,1
895.1,1,1
897.9,1,1
89,2,1
90,1,1
91,1,1
913.1,1,1
92,2,1
93,1,1
9.37664,1,1
94,1,1
950,1,1
958,1,1
9.58801,1,1
95,1,1
96,2,1
972,1,1
97,1,1
