Indicator,Disaggregation combinations using this value
#1-a-2,1
#10-c-1,1
#14-1-1,3
#15-1-1,3
#15-2-1,4
#17-6-1,23
#17-8-1,3
#2-2-2,2
#2-5-1,3
#2-5-2,3
#3-7-2,4
#4-1-2,543
#4-2-2,3
#4-5-1,443
#4-c-1,12
#6-6-1,1
#7-1-1,2
#9-1-2,2
#9-c-1,10
