Indicator
#1-1-1
#1-3-1
#1-a-2
#10-c-1
#14-1-1
#15-1-1
#15-2-1
#17-6-1
#17-8-1
#2-1-2
#2-2-2
#2-5-1
#2-5-2
#2-a-1
#3-3-3
#3-7-2
#4-1-2
#4-2-2
#4-5-1
#4-c-1
#6-3-1
#6-6-1
#7-1-1
#9-1-2
#9-2-1
#9-5-2
#9-b-1
#9-c-1
