Indicator,Disaggregation combinations using this value
#1-3-1,11
#14-1-1,4
#15-1-1,3
#15-2-1,2
#17-6-1,5
#4-1-2,54
#4-5-1,7
#4-c-1,15
#6-6-1,34
#9-1-2,1
#9-2-1,4
