Value,Disaggregation combinations using this value,Number of indicators
Bottom 40%,1,1
Quintile 1 (poorest),140,3
Quintile 2,138,2
Quintile 3,138,2
Quintile 4,138,2
Quintile 5 (richest),138,2
Richest 60%,1,1
