Indicator,Disaggregation combinations using this value
#10-a-1,4
#12-2-2,9
#15-2-1,1
#15-6-1,1
#17-10-1,2
#17-12-1,2
#17-13-1,2
#17-17-1,3
#17-6-1,8
#3-5-1,1
#5-6-2,1
#6-3-2,2
#6-5-2,1
#8-4-2,9
