Indicator
#1-1-1
#1-3-1
#10-c-1
#14-1-1
#15-1-1
#15-2-1
#17-6-1
#2-1-2
#2-2-2
#2-c-1
#4-1-2
#4-5-1
#4-c-1
#6-6-1
#9-1-2
#9-2-1
