Indicator,Disaggregation combinations using this value
#10-c-1,1
#14-1-1,3
#15-1-1,2
#15-2-1,4
#17-6-1,25
#4-1-2,498
#4-5-1,441
#4-c-1,10
#6-6-1,1
#9-1-2,2
