Year,NATURE,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Nature of data points,Source details,COMMENT_OBS,Observation-level footnotes,Value
2017,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the beach (%) [14.1.1],,Percent,Modeled,Global Model for Monitoring Marine Litter,,,51.93
2018,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the beach (%) [14.1.1],,Percent,Modeled,Global Model for Monitoring Marine Litter,,,52.39
2019,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the beach (%) [14.1.1],,Percent,Modeled,Global Model for Monitoring Marine Litter,,,52.37
2020,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the beach (%) [14.1.1],,Percent,Modeled,Global Model for Monitoring Marine Litter,,,47.49
2021,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the beach (%) [14.1.1],,Percent,Modeled,Global Model for Monitoring Marine Litter,,,50.53
2017,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,7266.0
2018,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,7669.0
2019,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,7941.0
2020,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,7403.0
2021,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the beach (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,8055.0
2017,M,Global Model for Monitoring Marine Litter,Exported beach litter originating from national land-based sources (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,13993.0
2018,M,Global Model for Monitoring Marine Litter,Exported beach litter originating from national land-based sources (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,14637.0
2019,M,Global Model for Monitoring Marine Litter,Exported beach litter originating from national land-based sources (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,15163.0
2020,M,Global Model for Monitoring Marine Litter,Exported beach litter originating from national land-based sources (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,15588.0
2021,M,Global Model for Monitoring Marine Litter,Exported beach litter originating from national land-based sources (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,15942.0
2017,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the ocean (%) [14.1.1],,Percent,Modeled,Global Model for Monitoring Marine Litter,,,48.07
2018,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the ocean (%) [14.1.1],,Percent,Modeled,Global Model for Monitoring Marine Litter,,,47.61
2019,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the ocean (%) [14.1.1],,Percent,Modeled,Global Model for Monitoring Marine Litter,,,47.64
2020,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the ocean (%) [14.1.1],,Percent,Modeled,Global Model for Monitoring Marine Litter,,,52.51
2021,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the ocean (%) [14.1.1],,Percent,Modeled,Global Model for Monitoring Marine Litter,,,49.48
2017,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the ocean (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,6727.0
2018,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the ocean (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,6968.0
2019,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the ocean (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,7223.0
2020,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the ocean (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,8185.0
2021,M,Global Model for Monitoring Marine Litter,Beach litter originating from national land-based sources that ends in the ocean (Tonnes) [14.1.1],,Metric Tons,Modeled,Global Model for Monitoring Marine Litter,,,7888.0
2016,E,"Plastic Pollution (MLW, MDMAP, ICC)",Beach litter per square kilometer (Number) [14.1.1],,Number,Estimated,"Plastic Pollution (MLW, MDMAP, ICC)",,,3204445.0064
2017,E,"Plastic Pollution (MLW, MDMAP, ICC)",Beach litter per square kilometer (Number) [14.1.1],,Number,Estimated,"Plastic Pollution (MLW, MDMAP, ICC)",,,2048479.78859
2018,E,"Plastic Pollution (MLW, MDMAP, ICC)",Beach litter per square kilometer (Number) [14.1.1],,Number,Estimated,"Plastic Pollution (MLW, MDMAP, ICC)",,,171115.72834
2020,E,"Plastic Pollution (MLW, MDMAP, ICC)",Beach litter per square kilometer (Number) [14.1.1],,Number,Estimated,"Plastic Pollution (MLW, MDMAP, ICC)",,,35808.00278
2018,E,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",Frequency of Chlorophyll-a concentration: High,Percent,Estimated,World Environment Situation Room,,,2.01267
