Year,NATURE,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Nature of data points,Source details,Observation-level footnotes,COMMENT_OBS,Value
2002,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.01167
2003,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.02261
2004,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.07091
2005,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.16256
2006,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.25413
2007,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.32627
2008,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.3945
2009,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.47604
2010,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.62034
2011,E,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Per 100 population,Estimated,"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",,,0.71133
