Year,UPPER_BOUND,LOWER_BOUND,Sex,Upper bound value,Lower bound value,Value
2000,5.7,2.8,,4.2,1.6,3.9
2005,4.2,1.9,,4.2,1.6,2.7
2010,4.2,1.9,,4.2,1.6,2.8
2015,4,1.6,,4.2,1.6,2.4
2019,4.2,1.6,,4.2,1.6,2.4
2000,3.3,1.9,Female,1.9,0.9,2.5
2005,2.3,1.1,Female,1.9,0.9,1.6
2010,2,1.1,Female,1.9,0.9,1.5
2015,1.9,0.9,Female,1.9,0.9,1.4
2019,1.9,0.9,Female,1.9,0.9,1.3
2000,8.2,3.8,Male,6.5,2.2,5.4
2005,6.3,2.7,Male,6.5,2.2,3.9
2010,6.5,2.7,Male,6.5,2.2,4.0
2015,6.1,2.3,Male,6.5,2.2,3.5
2019,6.5,2.2,Male,6.5,2.2,3.5
