Year,SDG Series,Value
2017,Degree of integrated water resources management implementation (%) [6.5.1],53
2020,Degree of integrated water resources management implementation (%) [6.5.1],59
2017,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",63
2020,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",73
2017,"Degree of integrated water resources management implementation, financing (%) [6.5.1]",40
2020,"Degree of integrated water resources management implementation, financing (%) [6.5.1]",40
2017,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]",59
2020,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]",72
2017,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",48
2020,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",49
