Year,Value
2004,40.4
2005,42.8
2006,41.7
2007,42.3
2008,41.2
2009,41.9
2010,39.4
2011,40.8
2012,40.6
2013,40.3
2014,39.5
2015,38.0
2016,37.8
2017,40.0
2018,41.5
2019,40.3
