Year,COMMENT_OBS,SDG Series,Composite breakdown,Unit of measure,Observation-level footnotes,Value
2019,Medium Confidence,Food waste [12.3.1],Food Waste Sector: Households,Metric Tons,Medium Confidence,5217366.8438
2019,Medium Confidence,Food waste [12.3.1],Food Waste Sector: Out-of-home consumption,Metric Tons,Medium Confidence,1637019.64155
2019,Medium Confidence,Food waste [12.3.1],Food Waste Sector: Retail,Metric Tons,Medium Confidence,576410.50809
2019,,Food waste per capita [12.3.1],Food Waste Sector: Households,Kilograms,,99.2386
2019,,Food waste per capita [12.3.1],Food Waste Sector: Out-of-home consumption,Kilograms,,31.13746
2019,,Food waste per capita [12.3.1],Food Waste Sector: Retail,Kilograms,,10.9638
