Year,UPPER_BOUND,LOWER_BOUND,Value
2000,226,97,155
2001,221,96,153
2002,216,96,150
2003,210,95,147
2004,205,94,144
2005,200,93,141
2006,196,92,139
2007,194,92,138
2008,190,91,136
2009,187,90,134
2010,183,89,132
2011,180,89,130
2012,177,88,129
2013,174,87,127
2014,170,87,125
2015,167,86,123
2016,164,85,122
2017,161,84,120
2018,159,84,118
2019,156,83,117
2020,157,83,117
