Year,UPPER_BOUND,LOWER_BOUND,Value
2000,851,589,708
2001,842,588,702
2002,829,579,692
2003,809,565,678
2004,783,544,653
2005,745,515,618
2006,706,484,583
2007,662,450,545
2008,630,421,513
2009,584,383,472
2010,540,349,432
2011,503,318,398
2012,479,294,373
2013,475,283,364
2014,475,275,358
2015,473,268,353
2016,473,259,346
2017,476,253,342
