Year,NATURE,Value
2000,C,23.39701
2001,C,22.39571
2002,E,25.62821
2003,C,24.98009
2004,C,26.66815
2005,C,27.46934
2006,C,25.0814
2010,C,20.55599
2011,C,19.25283
2012,C,19.9239
2013,C,19.13569
2014,C,17.08103
2015,C,16.66466
2016,E,17.35457
2017,E,17.7087
2018,E,19.03519
