Year,Value
2006,1.92907
2007,2.24257
2008,2.3863
2009,3.85914
2010,3.96413
2011,1.33451
2012,1.60461
2013,5.28755
2014,4.91611
2015,6.44928
2016,4.43418
2017,5.7805
2018,6.94228
2019,8.56172
2020,9.12561
