Year,COMMENT_OBS,Value
2000,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",117.66931
2001,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",41.44176
2002,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",71.0686
2003,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",74.75368
2004,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",117.55567
2005,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",111.65151
2006,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",116.46038
2007,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",104.31835
2008,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",173.32241
2009,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",143.11951
2010,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",133.99841
2011,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",222.68216
2012,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",219.54537
2013,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",200.64966
2014,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",335.36976
2015,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",281.01083
2016,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",205.47594
2017,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",350.95898
2018,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",327.5808
2019,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",886.79708
2020,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",529.05879
