Year,Value
2000,3.95
2001,4.09
2002,4.13
2003,3.78
2004,3.87
2005,3.79
2006,3.72
2007,3.88
2008,3.92
2009,4.59
2010,4.68
2011,4.79
2012,4.51
2013,4.07
2014,4.15
2015,4.19
2016,3.93
2017,3.65
2018,3.48
2019,3.67
