Year,SDG Series,Sex,Value
2005,Average income of large-scale food producers [2.3.2],,1127.5242
2005,Average income of large-scale food producers [2.3.2],Female,1129.6869
2005,Average income of large-scale food producers [2.3.2],Male,1126.7739
2005,Average income of small-scale food producers [2.3.2],,490.07
2005,Average income of small-scale food producers [2.3.2],Female,437.12
2005,Average income of small-scale food producers [2.3.2],Male,519.98
