Year,Value
1974,5.69447
1975,5.67833
1976,6.08477
1977,6.59239
1978,16.01371
1979,17.67393
1980,27.73237
1981,14.0423
1982,10.10553
1983,9.75996
1984,14.79274
1985,19.19545
1986,25.94337
1987,31.51113
1988,30.4857
1989,27.61434
1990,18.28095
1991,20.05283
1992,12.54228
1993,8.69491
1994,16.32829
1995,16.46523
1996,19.39469
1997,17.49983
1998,19.81212
1999,14.2487
2000,14.74182
2001,12.59727
2002,12.71475
2003,11.50588
2004,13.46452
2005,6.36259
2006,6.18478
2007,3.50247
2008,3.2588
2009,4.21238
2010,4.36778
2011,6.16786
2012,5.54365
2013,5.73874
2014,6.56048
2015,6.34381
2016,7.40052
2017,10.57156
2018,12.0737
