Year,NATURE,Value
2000,C,17.61849
2001,C,15.72974
2002,C,16.72192
2003,C,16.11751
2004,C,16.96225
2005,C,21.77097
2006,C,17.95464
2008,E,19.22614
2009,C,23.30045
2010,C,24.04635
2011,C,21.08697
2012,C,20.79525
2013,C,25.74235
2014,C,24.76296
2015,C,23.77827
2016,C,21.33737
2017,E,20.58926
2018,C,21.54202
2019,C,18.31227
2020,C,22.06278
2021,C,21.08209
