Year,Value
2000,0.16
2001,11.49
2002,2.03
2003,33.84
2004,13.42
2005,6.64
2006,33.41
2007,0.71
2009,38.09
2010,1.09
2011,1.44
2012,8.59
2013,18.4
2014,0.12
2015,32.31
2016,319.87
2017,8.55
2018,83.95
2019,68.93
