From,To
UNIT_MULT,NATURE
NATURE,SOURCE_DETAIL
Source details,COMMENT_OBS
UPPER_BOUND,LOWER_BOUND
Source details,UPPER_BOUND
SOURCE_DETAIL,SDG Series
SDG Series,Unit of measure
Unit of measure,Nature of data points
Nature of data points,Observation-level footnotes
Observation-level footnotes,Upper bound value
Upper bound value,Lower bound value
Lower bound value,Source details
