From,To
COMMENT_OBS,SOURCE_DETAIL
SOURCE_DETAIL,SDG Series
SDG Series,Unit of measure
Sex,Composite breakdown
Source details,Sex
Age,Composite breakdown
Source details,Age
Source details,Occupation
Unit of measure,Observation-level footnotes
Observation-level footnotes,Source details
