From,To
NATURE,SOURCE_DETAIL
SOURCE_DETAIL,SDG Series
SDG Series,Unit of measure
Source details,Composite breakdown
Composite breakdown,Observation-level footnotes
Unit of measure,Nature of data points
Nature of data points,Source details
Observation-level footnotes,COMMENT_OBS
