Year,Value
2000,482.75613
2001,460.17333
2002,533.89333
2003,533.79843
2004,997.0001
2005,699.5836
2006,868.05174
2007,973.56855
2008,1351.62724
2009,1388.89104
2010,926.40032
2011,1256.53143
2012,1132.9927
2013,219.77091
2014,1131.85331
2015,1088.14619
2016,727.9717
2017,1210.72123
2018,2265.53725
2019,2005.61022
2020,2085.31706
