Year,Value
2000,863.35487
2001,575.32987
2002,382.63641
2003,568.6851
2004,717.6243
2005,1070.43066
2006,796.75031
2007,2408.83987
2008,1378.72064
2009,2481.6769
2010,1504.21492
2011,2999.33825
2012,2746.96613
2013,4474.10758
2014,3278.03471
2015,2529.09725
2016,2682.91725
2017,3297.78835
2018,3518.51571
2019,3167.26416
2020,4494.78576
