Year,NATURE,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Nature of data points,Source details,COMMENT_OBS,Observation-level footnotes,Value
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,13.31718
2021,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,16.48182
2000,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,269.45245
2001,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,265.22164
2002,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,314.09103
2003,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,389.07592
2004,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,386.36192
2005,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,379.10271
2006,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,388.94088
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,390.96014
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,390.54954
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,395.1222
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,396.95256
2011,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,389.85224
2012,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,389.06219
2013,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,396.17603
2014,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,400.412
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,399.96105
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,398.35118
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,410.18571
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,416.02994
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,418.70108
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,429.58852
2021,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,441.58573
2000,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.0014
2001,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00138
2002,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00163
2003,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00202
2004,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00201
2005,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00197
2006,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00202
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00203
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00203
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00205
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00206
2011,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00202
2012,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00202
2013,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00206
2014,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00208
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00208
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00207
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00213
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00216
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00217
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00223
2021,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00229
2006,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,-1.87362
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,-9.21006
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,3.72315
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,-6.48267
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,12.08049
2011,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,22.47436
2012,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,28.30854
2013,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,25.65057
2014,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,40.49307
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,30.22968
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,38.12129
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,53.06072
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,44.38948
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,44.39584
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,58.40101
2021,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area change (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,62.12899
2000,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,494.48647
2001,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,675.78472
2002,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,931.1335
2003,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,1158.92532
2004,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,1503.64925
2005,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,1275.98662
2006,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,1252.07953
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,1158.46743
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,1323.49346
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,1193.26867
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,1430.13206
2011,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,1562.75643
2012,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,1637.19977
2013,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,1603.28445
2014,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,1792.67284
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,1661.7133
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,1762.40918
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,1953.03432
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,1842.39047
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,1842.47156
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,2021.1757
2021,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,2068.74422
2000,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00257
2001,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00351
2002,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00484
2003,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00602
2004,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00781
2005,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00663
2006,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.0065
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00602
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00687
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.0062
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00743
2011,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00812
2012,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.0085
2013,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00833
2014,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00931
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00863
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00915
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.01014
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00957
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.00957
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.0105
2021,E,Global Surface Water Explorer extraction for UN Environment Programme,Lakes and rivers seasonal water area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.01075
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality turbidity (%) [6.6.1],Deviation Level: Extreme (75-100%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,12.7519
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality turbidity (%) [6.6.1],Deviation Level: Extreme (75-100%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,21.15939
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality turbidity (%) [6.6.1],Deviation Level: Extreme (75-100%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,5.01189
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality turbidity (%) [6.6.1],Deviation Level: Extreme (75-100%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,14.85787
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality turbidity (%) [6.6.1],Deviation Level: High (50-75%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,12.90957
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality turbidity (%) [6.6.1],Deviation Level: High (50-75%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,23.83983
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality turbidity (%) [6.6.1],Deviation Level: High (50-75%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,6.29907
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality turbidity (%) [6.6.1],Deviation Level: High (50-75%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,6.45893
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality turbidity (%) [6.6.1],Deviation Level: Low (0-25%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,65.06468
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality turbidity (%) [6.6.1],Deviation Level: Low (0-25%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,44.8516
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality turbidity (%) [6.6.1],Deviation Level: Low (0-25%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,64.8117
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality turbidity (%) [6.6.1],Deviation Level: Low (0-25%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,72.98085
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality turbidity (%) [6.6.1],Deviation Level: Medium (25-50%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,9.27384
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality turbidity (%) [6.6.1],Deviation Level: Medium (25-50%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,10.14917
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality turbidity (%) [6.6.1],Deviation Level: Medium (25-50%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,7.21067
2020,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality turbidity (%) [6.6.1],Deviation Level: Medium (25-50%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,5.70236
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality trophic state (%) [6.6.1],Deviation Level: Extreme (75-100%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.06135
2018,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality trophic state (%) [6.6.1],Deviation Level: Extreme (75-100%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.08619
2019,E,Global Surface Water Explorer extraction for UN Environment Programme,Lake water quality trophic state (%) [6.6.1],Deviation Level: Extreme (75-100%),Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,0.0145
