Year,UPPER_BOUND,LOWER_BOUND,Value
2000,685,441,553
2001,675,436,545
2002,667,431,537
2003,663,426,532
2004,657,422,526
2005,652,415,519
2006,646,411,514
2007,637,402,504
2008,623,390,492
2009,601,372,472
2010,572,352,447
2011,545,331,423
2012,519,312,400
2013,501,296,381
2014,482,280,364
2015,464,265,346
2016,447,251,330
2017,434,237,315
