From,To
NATURE,SOURCE_DETAIL
SOURCE_DETAIL,SDG Series
SDG Series,Unit of measure
Source details,Composite breakdown
Unit of measure,Nature of data points
Nature of data points,Source details
Source details,COMMENT_OBS
COMMENT_OBS,Observation-level footnotes
