From,To
SDG Series,Unit of measure
Observation-level footnotes,Composite breakdown
Observation-level footnotes,Economic activity
Unit of measure,BASE_PER
Unit of measure,COMMENT_OBS
BASE_PER,Base period
COMMENT_OBS,Observation-level footnotes
