Year,SDG Series,COMMENT_OBS,Observation-level footnotes,Value
2017,Proportion of groundwater bodies with good ambient water quality [6.3.2],,,66.67
2020,Proportion of groundwater bodies with good ambient water quality [6.3.2],,,33.33
2017,Proportion of river water bodies with good ambient water quality [6.3.2],Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2020,Proportion of river water bodies with good ambient water quality [6.3.2],,Obs_Value = 0;  ,66.67
2017,Proportion of bodies of water with good ambient water quality [6.3.2],,,44.44
2020,Proportion of bodies of water with good ambient water quality [6.3.2],,,44.44
